Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
Prolexic Technologies acquired by Akamai Technologies,Prolexic Technologies,Akamai Technologies,"Dec 2, 2013","$390,000,000",Acquisition,Cash,Prolexic Technologies is a distributed denial of service (DDoS) mitigation service provider.,—,"E-Commerce, Enterprise Software, Payments, SaaS, Travel","Hollywood, Florida, United States",—,"$51,900,000",M&A,3,"Akamai® is the leading provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.","Cloud Computing, Content Delivery Network, Cyber Security, Digital Media, Enterprise Software, IaaS, SaaS, Video Streaming","Cambridge, Massachusetts, United States",—,—,IPO,1
Kiva Systems acquired by Amazon,Kiva Systems,Amazon,"Mar 19, 2012","$775,000,000",—,Cash,Kiva Systems offers a mobile-robotic fulfillment system for inventory distribution centers that help companies optimize their operations.,—,"Hardware, Mobile, Robotics, Software","North Reading, Massachusetts, United States",—,"$18,100,000",M&A,3,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
Matter acquired by Accenture,Matter,Accenture,"Sep 6, 2017",—,Acquisition,—,Matter™ is a San Francisco-based design and innovation firm.,—,"Innovation Management, Product Design, Social Impact","San Francisco, California, United States",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
BluePoint Technologies acquired by Adobe Systems,BluePoint Technologies,Adobe Systems,"Jun 21, 1990",—,Acquisition,—,BluePoint Technologies is a provider of Computer chips.,—,"Information Technology, Software","New Hampshire, Ohio, United States",—,—,M&A,—,Adobe provides digital media and digital marketing solutions.,"Collaboration, Enterprise Software, Image Recognition, Photo Editing, Software","San Jose, California, United States",—,—,IPO,2
LuxVue Technology acquired by Apple,LuxVue Technology,Apple,"May 2, 2014",—,Acquisition,—,"LuxVue Technology Corporation develops low-power, microLED-based displays for consumer electronics applications.",—,"Consumer Electronics, Hardware, Software","Santa Clara, California, United States",—,"$43,775,000",M&A,3,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
Nitobi Software acquired by Adobe Systems,Nitobi Software,Adobe Systems,"Oct 3, 2011",—,—,—,"Nitobi Software offers PhoneGap, an open source solution that provides web developers with JavaScript access to mobile device features.",—,"Developer Tools, Software, Web Development","Vancouver, British Columbia, Canada",—,—,M&A,—,Adobe provides digital media and digital marketing solutions.,"Collaboration, Enterprise Software, Image Recognition, Photo Editing, Software","San Jose, California, United States",—,—,IPO,2
Tularik acquired by Amgen,Tularik,Amgen,"Mar 29, 2004","$1,300,000,000",Acquisition,—,Tularik engages in the discovery and development of orally available medicines that act through the regulation of gene expression.,—,"Biopharma, Biotechnology, Genetics, Pharmaceutical","San Francisco, California, United States",—,—,M&A,—,Amgen is one of the world’s leading biotechnology companies.,"Biotechnology, Health Care, Pharmaceutical","Thousand Oaks, California, United States",—,—,IPO,—
Media Hive acquired by Accenture,Media Hive,Accenture,"May 15, 2017",—,Acquisition,—,"Media Hive is a team of project strategists, delivery specialists, pragmatic consultants, and trusted advisors.",—,"Consulting, Internet, Marketing, Social Media","Asbury Park, New Jersey, United States",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
IgG America acquired by AmerisourceBergen Corporation,IgG America,AmerisourceBergen Corporation,"Nov 1, 2006","$35,000,000",Acquisition,Cash,IgG America is the specialty infusion pharmacy dedicated exclusively to providing immunoglobulin therapy.,—,Pharmaceutical,"Linthicum Heights, Maryland, United States",—,—,M&A,—,AmerisourceBergen Corporation provides pharmaceutical supply chain distribution & pharmacy management solutions.,"Enterprise Software, Health Care, Medical","Valley Forge, Pennsylvania, United States",—,—,IPO,—
Adaptly acquired by Accenture,Adaptly,Accenture,"Dec 12, 2018",—,Acquisition,—,Adaptly enables the world’s biggest advertisers to scale campaigns across walled gardens through technology and strategic services.,—,"Advertising, Marketing, Social Network","New York, New York, United States",—,"$13,200,000",M&A,4,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Sayspring acquired by Adobe Systems,Sayspring,Adobe Systems,"Apr 16, 2018",—,Acquihire,—,Sayspring enables designers to create voice-enabled apps without code ahead of handing over projects to development.,—,"Apps, Product Design, SaaS, Software, UX Design","New York, New York, United States",—,"$1,600,000",M&A,2,Adobe provides digital media and digital marketing solutions.,"Collaboration, Enterprise Software, Image Recognition, Photo Editing, Software","San Jose, California, United States",—,—,IPO,2
St. Francis Group acquired by AmerisourceBergen Corporation,St. Francis Group,AmerisourceBergen Corporation,"Feb 16, 2016",—,Acquisition,—,"St. Francis Group, the United Kingdom’s largest animal health buying group.",—,"Health Care, Non Profit","Oundle, Northamptonshire, United Kingdom",—,—,M&A,—,AmerisourceBergen Corporation provides pharmaceutical supply chain distribution & pharmacy management solutions.,"Enterprise Software, Health Care, Medical","Valley Forge, Pennsylvania, United States",—,—,IPO,—
AbeBooks acquired by Amazon,AbeBooks,Amazon,"Aug 1, 2008",—,—,—,"AbeBooks, an Amazon subsidiary, is an online marketplace for new, used, rare and out-of-print books from thousands of sellers.",—,"E-Commerce, Internet, Marketplace, Publishing, Shopping","Victoria, British Columbia, Canada",—,—,M&A,1,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
VTI Instruments Corporation acquired by AMETEK,VTI Instruments Corporation,AMETEK,"Feb 10, 2014","$74,000,000",Acquisition,—,"VTI Instruments delivers precision modular instrumentation and systems for electronic signal distribution, acquisition, and monitoring etc.",—,"Electronics, Manufacturing","Irvine, California, United States",—,—,M&A,—,AMETEK is a global manufacturer of electronic instruments and electromechanical devices.,"Electronics, Manufacturing","Berwyn, Pennsylvania, United States",—,—,M&A,—
Atlas Material Testing Technology LLC acquired by AMETEK,Atlas Material Testing Technology LLC,AMETEK,"Nov 9, 2010","$159,000,000",Acquisition,Cash,Atlas Material Testing Technology LLC is a provider of weathering test instruments and related testing and consulting services.,—,"Electronics, Manufacturing","Mount Prospect, Illinois, United States",—,—,M&A,—,AMETEK is a global manufacturer of electronic instruments and electromechanical devices.,"Electronics, Manufacturing","Berwyn, Pennsylvania, United States",—,—,M&A,—
"Rotron, Inc. acquired by AMETEK","Rotron, Inc.",AMETEK,"Jan 9, 1998","$103,000,000",Acquisition,Cash,"Rotron, Inc is a leader in motors, fans, and blowers for aerospace, mass transit, and medical applications",—,"Consumer Goods, Electronics, Machinery Manufacturing, Manufacturing","Woodstock, New York, United States",—,—,M&A,—,AMETEK is a global manufacturer of electronic instruments and electromechanical devices.,"Electronics, Manufacturing","Berwyn, Pennsylvania, United States",—,—,M&A,—
CryoService acquired by Air Products and Chemicals,CryoService,Air Products and Chemicals,"Mar 19, 2012",—,Acquisition,—,"CryoService supplies a range of cryogenic and specialist gases to the markets in science, leisure, and industrial sectors.",—,"Industrial Manufacturing, Oil and Gas","Worcester, Worcestershire, United Kingdom",—,—,M&A,—,"Air Products supplier of industrial gases and equipment, specialty and intermediate chemicals, and environmental and energy systems.","Chemical, Chemical Engineering, Industrial, Medical Device, Semiconductor, Transportation","Kelayres, Pennsylvania, United States",—,—,IPO,—
Cadent acquired by Align Technology,Cadent,Align Technology,"Mar 29, 2011",—,—,—,Cadent is a provider of 3-D digital imaging solutions for the orthodontic and dental industries.,—,"3D Technology, Health Care, Software","Carlstadt, New Jersey, United States",—,"$44,307,221",M&A,2,"Align Technology, Inc. designs, manufactures, and markets the invisalign system for treating malocclusion or the misalignment of teeth.","Hardware, Health Care","San Jose, California, United States",—,—,IPO,—
Hawaiian Vacations - Assets acquired by Alaska Air Group,Hawaiian Vacations - Assets,Alaska Air Group,"Sep 12, 2007",—,Acquisition,—,Hawaiian Vacations - Assets is a tour company which provides vacation packages.,—,Air Transportation,"Anchorage, Alaska, United States",—,—,M&A,—,Alaska Airlines is the eighth-largest U.S. airline based on passenger traffic and is the dominant U.S. West Coast air carrier.,"Aerospace, Tourism, Travel","Seattle, Washington, United States",—,—,IPO,—
HS Foils Oy acquired by AMETEK,HS Foils Oy,AMETEK,"Aug 4, 2016",—,Acquisition,—,HS Foils Oy is the developer of patented silicon nitride window technology that significantly expands the limits of X-ray window.,—,"Electronics, Manufacturing","Espoo, Southern Finland, Finland",—,—,M&A,—,AMETEK is a global manufacturer of electronic instruments and electromechanical devices.,"Electronics, Manufacturing","Berwyn, Pennsylvania, United States",—,—,M&A,—
Maglan acquired by Accenture,Maglan,Accenture,"Jun 20, 2016",—,Acquisition,—,Information Defense & Intelligence,—,"Cyber Security, Information Technology, Security","Yair, HaDarom, Israel",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Media Audits Ltd. acquired by Accenture,Media Audits Ltd.,Accenture,"Nov 3, 2005",—,Acquisition,—,Media Audits provides media auditing services.,—,Media and Entertainment,"London, England, United Kingdom",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
